dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.012453,12.749994,0.005369,0.536884,26.844214,1342.210688,6.282209
0.020000,0.011314,12.749995,0.006508,0.056938,-23.997333,-2542.077321,6.282298
0.020000,0.009036,12.749997,0.008786,0.113906,2.848410,1342.287121,6.282477
0.020000,0.005617,12.749999,0.012204,0.170935,2.851468,0.152935,6.282745
0.020000,0.001056,12.750000,0.016766,0.228056,2.856060,0.229574,6.283102
0.020000,0.082875,12.750015,0.098584,4.090943,193.144340,9514.414017,0.000365
0.020000,0.204852,12.750092,0.220562,6.098883,100.396970,-4637.368494,0.000903
0.020000,0.347183,12.750266,0.362893,7.116524,50.882049,-2475.746056,0.001531
0.020000,0.509799,12.750573,0.525509,8.130843,50.715971,-8.303915,0.002251
0.020000,0.692712,12.751059,0.708423,9.145659,50.740776,1.240228,0.003063
0.020000,0.895934,12.751774,0.911646,10.161192,50.776669,1.794683,0.003967
0.020000,1.119444,12.752772,1.135158,11.175601,50.720435,-2.811717,0.004965
0.020000,1.363223,12.754115,1.378941,12.189140,50.676967,-2.173399,0.006056
0.020000,1.627284,12.755871,1.643008,13.203336,50.709817,1.642502,0.007243
0.020000,1.911589,12.758112,1.927322,14.215704,50.618396,-4.571045,0.008525
0.020000,2.216108,12.760918,2.231854,15.226582,50.543906,-3.724479,0.009905
0.020000,2.540860,12.764375,2.556623,16.238490,50.595362,2.572792,0.011383
0.020000,2.885805,12.768573,2.901594,17.248546,50.502825,-4.626853,0.012960
0.020000,3.250944,12.773612,3.266768,18.258703,50.507834,0.250434,0.014637
0.020000,3.636223,12.779594,3.652094,19.266254,50.377572,-6.513087,0.016417
0.020000,4.041642,12.786632,4.057573,20.273993,50.386943,0.468543,0.018301
0.020000,4.467195,12.794844,4.483206,21.281631,50.381873,-0.253493,0.020290
0.020000,4.912828,12.804354,4.928941,22.286733,50.255112,-6.338081,0.022386
0.020000,5.378514,12.815293,5.394755,23.290695,50.198126,-2.849264,0.024590
0.020000,5.864257,12.827802,5.880659,24.295210,50.225752,1.381294,0.026906
0.020000,6.369990,12.842026,6.386592,25.296664,50.072679,-7.653660,0.029334
0.020000,6.895660,12.858119,6.912508,26.295793,49.956455,-5.811177,0.031877
0.020000,7.441290,12.876244,7.458439,27.296544,50.037553,4.054859,0.034538
0.020000,8.006764,12.896567,8.024278,28.291970,49.771272,-13.314005,0.037318
0.020000,8.592129,12.919272,8.610083,29.290244,49.913744,7.123552,0.040220
0.020000,9.197271,12.944540,9.215753,30.283502,49.662859,-12.544219,0.043247
0.020000,9.822156,12.972567,9.841266,31.275653,49.607590,-2.763478,0.046402
0.020000,10.466737,13.003557,10.486592,32.266274,49.531055,-3.826735,0.049687
0.020000,11.130958,13.037724,11.151690,33.254933,49.432918,-4.906842,0.053106
0.020000,11.814750,13.075288,11.836514,34.241190,49.312861,-6.002837,0.056661
0.020000,12.518037,13.116482,12.541006,35.224602,49.170588,-7.113646,0.060357
0.020000,13.240812,13.161550,13.265185,36.208939,49.216852,2.313159,0.064197
0.020000,13.982914,13.210739,14.008915,37.186515,48.878804,-16.902361,0.068184
0.020000,14.744341,13.264318,14.772225,38.165496,48.949046,3.512100,0.072323
0.020000,15.524950,13.322555,15.555003,39.138910,48.670694,-13.917636,0.076618
0.020000,16.324668,13.385736,16.357213,40.110474,48.578215,-4.623911,0.081073
0.020000,17.143407,13.454159,17.178806,41.079677,48.460127,-5.904410,0.085692
0.020000,17.981067,13.528132,18.019726,42.045997,48.316009,-7.205905,0.090480
0.020000,18.837532,13.607975,18.879904,43.008906,48.145487,-8.526122,0.095442
0.020000,19.712669,13.694021,19.759262,43.967871,47.948237,-9.862482,0.100584
0.020000,20.606350,13.786615,20.657727,44.923269,47.769891,-8.917320,0.105910
0.020000,21.518481,13.886121,21.575269,45.877087,47.690906,-3.949220,0.111427
0.020000,22.448869,13.992908,22.511766,46.824856,47.388453,-15.122668,0.117140
0.020000,23.397369,14.107364,23.467146,47.769011,47.207751,-9.035087,0.123056
0.020000,24.363835,14.229895,24.441349,48.710155,47.057198,-7.527642,0.129180
0.020000,25.348083,14.360918,25.434280,49.646514,46.817932,-11.963340,0.135520
0.020000,26.349936,14.500867,26.445860,50.579033,46.625937,-9.599748,0.142082
0.020000,27.369181,14.650191,27.475985,51.506226,46.359687,-13.312457,0.148875
0.020000,28.405581,14.809351,28.524535,52.427526,46.064982,-14.735260,0.155905
0.020000,29.458947,14.978837,29.591450,53.345713,45.909341,-7.782072,0.163180
0.020000,30.528992,15.159142,30.676579,54.256450,45.536856,-18.624247,0.170709
0.020000,31.615506,15.350791,31.779865,55.164328,45.393883,-7.148624,0.178501
0.020000,32.718180,15.554316,32.901165,56.064978,45.032500,-18.069180,0.186563
0.020000,33.836716,15.770270,34.040357,56.959621,44.732167,-15.016636,0.194906
0.020000,34.970808,15.999227,35.197330,57.848628,44.450370,-14.089867,0.203539
0.020000,36.120135,16.241784,36.371973,58.732152,44.176180,-13.709482,0.212471
0.020000,37.284291,16.498542,37.564108,59.606746,43.729707,-22.323647,0.221714
0.020000,38.462959,16.770146,38.773664,60.477827,43.554067,-8.781992,0.231277
0.020000,39.655686,17.057236,40.000456,61.339590,43.088139,-23.296402,0.241171
0.020000,40.862056,17.360486,41.244356,62.195019,42.771432,-15.835370,0.251407
0.020000,42.081614,17.680589,42.505224,63.043384,42.418283,-17.657461,0.261998
0.020000,43.313868,18.018253,43.782904,63.884002,42.030901,-19.369063,0.272953
0.020000,44.558303,18.374210,45.077248,64.717169,41.658305,-18.629827,0.284286
0.020000,45.814391,18.749215,46.388120,65.543618,41.322467,-16.791913,0.296008
0.020000,47.081535,19.144034,47.715348,66.361427,40.890434,-21.601605,0.308131
0.020000,48.359124,19.559454,49.058780,67.171579,40.507642,-19.139633,0.320666
0.020000,49.646520,19.996285,50.418268,67.974419,40.141991,-18.282552,0.333628
0.020000,50.943036,20.455352,51.793658,68.769469,39.752503,-19.474407,0.347026
0.020000,52.247941,20.937491,53.184785,69.556377,39.345371,-20.356587,0.360872
0.020000,53.560521,21.443576,54.591550,70.338255,39.093890,-12.574053,0.375180
0.020000,54.879939,21.974461,56.013767,71.110855,38.630001,-23.194451,0.389958
0.020000,56.205377,22.531039,57.451323,71.877770,38.345794,-14.210339,0.405217
0.020000,57.535969,23.114210,58.904101,72.638909,38.056954,-14.442018,0.420967
0.020000,58.870801,23.724879,60.371989,73.394381,37.773564,-14.169469,0.437216
0.020000,60.208913,24.363958,61.854879,74.144518,37.506851,-13.335650,0.453972
0.020000,61.549345,25.032381,63.352727,74.892375,37.392872,-5.698938,0.471240
0.020000,62.891046,25.731063,64.865446,75.635969,37.179672,-10.660003,0.489025
0.020000,64.232968,26.460937,66.393016,76.378496,37.126389,-2.664159,0.507330
0.020000,65.574017,27.222931,67.935432,77.120816,37.115981,-0.520420,0.526155
0.020000,66.913063,28.017967,69.492714,77.864072,37.162799,2.340911,0.545498
0.020000,68.248949,28.846964,71.064918,78.610238,37.308274,7.273754,0.565355
0.020000,69.580496,29.710833,72.652144,79.361269,37.551591,12.165818,0.585718
0.020000,70.906492,30.610468,74.254521,80.118840,37.878553,16.348118,0.606577
0.020000,72.225705,31.546751,75.872219,80.884903,38.303117,21.228228,0.627918
0.020000,73.536887,32.520542,77.505457,81.661901,38.849902,27.339221,0.649725
0.020000,74.838774,33.532680,79.154497,82.452036,39.506778,32.843798,0.671976
0.020000,76.130098,34.583984,80.819657,83.257988,40.297598,39.541011,0.694648
0.020000,77.409569,35.675228,82.501281,84.081207,41.160933,43.166759,0.717712
0.020000,78.675907,36.807165,84.199779,84.924870,42.183162,51.111422,0.741138
0.020000,79.927826,37.980501,85.915593,85.790706,43.291765,55.430183,0.764889
0.020000,81.159523,39.191350,87.642797,86.360188,28.474125,-740.882022,0.788839
0.020000,82.359374,40.428712,89.366371,86.178709,-9.073975,-1877.404992,0.812732
0.020000,83.519330,41.683260,91.074992,85.431076,-37.381608,-1415.381674,0.836364
0.020000,84.638160,42.951790,92.766427,84.571715,-42.968071,-279.323108,0.859659
0.020000,85.716583,44.233019,94.441103,83.733831,-41.894209,53.693075,0.882585
0.020000,86.755356,45.525666,96.099412,82.915429,-40.920079,48.706529,0.905110
0.020000,87.755267,46.828452,97.741689,82.113856,-40.078653,42.071293,0.927208
0.020000,88.717140,48.140112,99.368234,81.327272,-39.329213,37.471970,0.948856
0.020000,89.641818,49.459388,100.979296,80.553076,-38.709794,30.970980,0.970034
0.020000,90.530170,50.785042,102.575080,79.789217,-38.192938,25.842760,0.990726
0.020000,91.383074,52.115845,104.155739,79.032930,-37.814360,18.928898,1.010920
0.020000,92.201435,53.450608,105.721404,78.283269,-37.483066,16.564741,1.030606
0.020000,92.986157,54.788146,107.272144,77.537010,-37.312931,8.506755,1.049778
0.020000,93.738163,56.127323,108.808018,76.793685,-37.166255,7.333760,1.068432
0.020000,94.458377,57.467022,110.329038,76.051011,-37.133723,1.626633,1.086567
0.020000,95.147726,58.806168,111.835197,75.307936,-37.153715,-0.999606,1.104184
0.020000,95.807125,60.143689,113.326428,74.561533,-37.320173,-8.322929,1.121286
0.020000,96.437514,61.478608,114.802707,73.813975,-37.377879,-2.885292,1.137878
0.020000,97.039800,62.809927,116.263925,73.060891,-37.654196,-13.815857,1.153966
0.020000,97.614899,64.136719,117.709993,72.303426,-37.873263,-10.953339,1.169558
0.020000,98.163715,65.458090,119.140805,71.540570,-38.142810,-13.477343,1.184663
0.020000,98.687133,66.773164,120.556215,70.770498,-38.503588,-18.038875,1.199291
0.020000,99.186045,68.081153,121.956125,69.995522,-38.748808,-12.261047,1.213451
0.020000,99.661307,69.381244,123.340362,69.211820,-39.185108,-21.814993,1.227155
0.020000,100.113776,70.672718,124.708803,68.422086,-39.486670,-15.078070,1.240414
0.020000,100.544286,71.954858,126.061291,67.624362,-39.886232,-19.978123,1.253240
0.020000,100.953655,73.226994,127.397671,66.819038,-40.266187,-18.997730,1.265646
0.020000,101.342685,74.488503,128.717804,66.006625,-40.620650,-17.723161,1.277642
0.020000,101.712151,75.738758,130.021507,65.185161,-41.073190,-22.626982,1.289241
0.020000,102.062827,76.977230,131.308670,64.358138,-41.351168,-13.898929,1.300455
0.020000,102.395442,78.203334,132.579088,63.520922,-41.860800,-25.481582,1.311295
0.020000,102.710730,79.416600,133.832651,62.678155,-42.138363,-13.878162,1.321774
0.020000,103.009393,80.616548,135.069210,61.827910,-42.512232,-18.693457,1.331903
0.020000,103.292115,81.802722,136.288611,60.970075,-42.891757,-18.976261,1.341694
0.020000,103.559554,82.974685,137.490701,60.104485,-43.279477,-19.385996,1.351156
0.020000,103.812365,84.132084,138.675389,59.234421,-43.503196,-11.185956,1.360302
0.020000,104.051160,85.274488,139.842483,58.354712,-43.985467,-24.113518,1.369140
0.020000,104.276551,86.401582,140.991893,57.470489,-44.211154,-11.284362,1.377682
0.020000,104.489123,87.513033,142.123490,56.579834,-44.532722,-16.078390,1.385937
0.020000,104.689442,88.608530,143.237151,55.683062,-44.838633,-15.295556,1.393915
0.020000,104.878057,89.687791,144.332769,54.780882,-45.108970,-13.516832,1.401624
0.020000,105.055492,90.750512,145.410201,53.871609,-45.463644,-17.733712,1.409073
0.020000,105.222264,91.796469,146.469370,52.958459,-45.657525,-9.694041,1.416272
0.020000,105.378864,92.825405,147.510155,52.039219,-45.962023,-15.224896,1.423227
0.020000,105.525772,93.837117,148.532477,51.116145,-46.153663,-9.582007,1.429948
0.020000,105.663447,94.831380,149.536227,50.187465,-46.434036,-14.018663,1.436440
0.020000,105.792330,95.807989,150.521303,49.253809,-46.682773,-12.436833,1.442713
0.020000,105.912850,96.766760,151.487619,48.315811,-46.899928,-10.857753,1.448771
0.020000,106.025421,97.707530,152.435101,47.374097,-47.085687,-9.287982,1.454623
0.020000,106.130443,98.630158,153.363687,46.429290,-47.240354,-7.733350,1.460274
0.020000,106.228293,99.534441,154.273249,45.478089,-47.560033,-15.983944,1.465730
0.020000,106.319346,100.420302,155.163777,44.526417,-47.583609,-1.178783,1.470998
0.020000,106.403952,101.287534,156.035126,43.567445,-47.948567,-18.247928,1.476083
