dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.005369,0.536884,26.844214,1342.210688,6.282209
0.020000,0.000000,0.000000,0.026844,1.610653,53.688428,1342.210688,6.282298
0.020000,0.000000,0.000000,0.069795,2.684421,53.688428,-0.000000,6.282477
0.020000,0.000000,0.000000,0.134221,3.758190,53.688428,0.000000,6.282745
0.020000,0.000000,0.000000,0.220123,4.831958,53.688428,0.000000,6.283102
0.020000,0.087527,0.000016,0.327499,5.905727,53.688428,-0.000000,0.000365
0.020000,0.216362,0.000098,0.456352,6.979496,53.688428,0.000000,0.000903
0.020000,0.366709,0.000281,0.606679,8.053264,53.688428,-0.000000,0.001531
0.020000,0.538504,0.000605,0.778482,9.127033,53.688428,0.000000,0.002251
0.020000,0.731765,0.001119,0.971761,10.200801,53.688428,0.000000,0.003063
0.020000,0.946517,0.001874,1.186514,11.274570,53.688428,-0.000000,0.003967
0.020000,1.182745,0.002929,1.422743,12.348338,53.688428,0.000000,0.004965
0.020000,1.440441,0.004349,1.680448,13.422107,53.688428,-0.000000,0.006056
0.020000,1.719631,0.006205,1.959628,14.495875,53.688428,0.000000,0.007243
0.020000,2.020288,0.008576,2.260283,15.569644,53.688428,-0.000000,0.008525
0.020000,2.342394,0.011544,2.582413,16.643413,53.688428,0.000000,0.009905
0.020000,2.685984,0.015201,2.926019,17.717181,53.688428,-0.000000,0.011383
0.020000,3.051035,0.019644,3.291101,18.790950,53.688428,-0.000000,0.012960
0.020000,3.437564,0.024977,3.677657,19.864718,53.688428,0.000000,0.014637
0.020000,3.845534,0.031312,4.085689,20.938487,53.688428,-0.000000,0.016417
0.020000,4.274964,0.038767,4.515197,22.012255,53.688428,0.000000,0.018301
0.020000,4.725871,0.047468,4.966180,23.086024,53.688428,0.000000,0.020290
0.020000,5.198221,0.057548,5.438638,24.159792,53.688428,-0.000000,0.022386
0.020000,5.692008,0.069148,5.932571,25.233561,53.688428,0.000000,0.024590
0.020000,6.207264,0.082417,6.447980,26.307329,53.688428,0.000000,0.026906
0.020000,6.743946,0.097512,6.984864,27.381098,53.688428,-0.000000,0.029334
0.020000,7.302025,0.114596,7.543224,28.454867,53.688428,0.000000,0.031877
0.020000,7.881558,0.133847,8.123059,29.528635,53.688428,0.000000,0.034538
0.020000,8.482453,0.155444,8.724369,30.602404,53.688428,-0.000000,0.037318
0.020000,9.104795,0.179583,9.347155,31.676172,53.688428,0.000000,0.040220
0.020000,9.748498,0.206461,9.991416,32.749941,53.688428,-0.000000,0.043247
0.020000,10.413564,0.236290,10.657153,33.823709,53.688428,0.000000,0.046402
0.020000,11.099983,0.269293,11.344365,34.897478,53.688428,0.000000,0.049687
0.020000,11.807735,0.305699,12.053052,35.971246,53.688428,-0.000000,0.053106
0.020000,12.536795,0.345750,12.783215,37.045015,53.688428,0.000000,0.056661
0.020000,13.287123,0.389699,13.534853,38.118784,53.688428,-0.000000,0.060357
0.020000,14.058763,0.437814,14.307966,39.192552,53.688428,0.000000,0.064197
0.020000,14.851592,0.490366,15.102555,40.266321,53.688428,0.000000,0.068184
0.020000,15.665662,0.547649,15.918619,41.340089,53.688428,0.000000,0.072323
0.020000,16.500875,0.609960,16.756158,42.413858,53.688428,0.000000,0.076618
0.020000,17.357211,0.677614,17.615173,43.487626,53.688428,0.000000,0.081073
0.020000,18.234639,0.750942,18.495663,44.561395,53.688428,0.000000,0.085692
0.020000,19.133112,0.830286,19.397629,45.635163,53.688428,0.000000,0.090480
0.020000,20.052575,0.916003,20.321070,46.708932,53.688428,-0.000000,0.095442
0.020000,20.992954,1.008463,21.265986,47.782700,53.688428,0.000000,0.100584
0.020000,21.954184,1.108056,22.232378,48.856469,53.688428,-0.000000,0.105910
0.020000,22.936239,1.215191,23.220245,49.930238,53.688428,0.000000,0.111427
0.020000,23.938993,1.330284,24.229587,51.004006,53.688428,0.000000,0.117140
0.020000,24.962370,1.453777,25.260405,52.077775,53.688428,0.000000,0.123056
0.020000,26.006302,1.586130,26.312698,53.151543,53.688428,-0.000000,0.129180
0.020000,27.070676,1.727819,27.386467,54.225312,53.688428,0.000000,0.135520
0.020000,28.155398,1.879345,28.481711,55.299080,53.688428,0.000000,0.142082
0.020000,29.260332,2.041224,29.598430,56.372849,53.688428,-0.000000,0.148875
0.020000,30.385325,2.213990,30.736625,57.446617,53.688428,-0.000000,0.155905
0.020000,31.530275,2.398213,31.896295,58.520386,53.688428,0.000000,0.163180
0.020000,32.694979,2.594469,33.077440,59.594155,53.688428,0.000000,0.170709
0.020000,33.879322,2.803376,34.280061,60.667923,53.688428,-0.000000,0.178501
0.020000,35.083085,3.025560,35.504157,61.741692,53.688428,0.000000,0.186563
0.020000,36.306062,3.261680,36.749729,62.815460,53.688428,-0.000000,0.194906
0.020000,37.548043,3.512420,38.016776,63.889229,53.688428,-0.000000,0.203539
0.020000,38.808806,3.778496,39.305298,64.962997,53.688428,0.000000,0.212471
0.020000,40.088036,4.060636,40.615295,66.036766,53.688428,0.000000,0.221714
0.020000,41.385518,4.359620,41.946768,67.110534,53.688428,-0.000000,0.231277
0.020000,42.700892,4.676233,43.299717,68.184303,53.688428,0.000000,0.241171
0.020000,44.033839,5.011304,44.674141,69.258072,53.688428,0.000000,0.251407
0.020000,45.383998,5.365689,46.070040,70.331840,53.688428,0.000000,0.261998
0.020000,46.750968,5.740271,47.487414,71.405609,53.688428,-0.000000,0.272953
0.020000,48.134322,6.135967,48.926264,72.479377,53.688428,0.000000,0.284286
0.020000,49.533615,6.553730,50.386589,73.553146,53.688428,0.000000,0.296008
0.020000,50.948326,6.994530,51.868390,74.626914,53.688428,0.000000,0.308131
0.020000,52.377913,7.459378,53.371666,75.700683,53.688428,-0.000000,0.320666
0.020000,53.821796,7.949312,54.896417,76.774451,53.688428,0.000000,0.333628
0.020000,55.279340,8.465400,56.442644,77.848220,53.688428,0.000000,0.347026
0.020000,56.749846,9.008730,58.010346,78.921988,53.688428,-0.000000,0.360872
0.020000,58.232626,9.580442,59.599523,79.995757,53.688428,0.000000,0.375180
0.020000,59.726840,10.181665,61.210176,81.069526,53.688428,0.000000,0.389958
0.020000,61.231656,10.813573,62.842304,82.143294,53.688428,-0.000000,0.405217
0.020000,62.746167,11.477357,64.495908,83.217063,53.688428,0.000000,0.420967
0.020000,64.269393,12.174221,66.170987,84.290831,53.688428,-0.000000,0.437216
0.020000,65.800276,12.905374,67.867541,85.364600,53.688428,0.000000,0.453972
0.020000,67.337737,13.672055,69.585571,86.438368,53.688428,-0.000000,0.471240
0.020000,68.880559,14.475477,71.325076,87.512137,53.688428,0.000000,0.489025
0.020000,70.427498,15.316867,73.086056,88.585905,53.688428,-0.000000,0.507330
0.020000,71.977224,16.197440,74.868512,89.659674,53.688428,0.000000,0.526155
0.020000,73.528324,17.118388,76.672443,90.733443,53.688428,0.000000,0.545498
0.020000,75.079321,18.080882,78.497850,91.807211,53.688428,-0.000000,0.565355
0.020000,76.628666,19.086060,80.344732,92.880980,53.688428,0.000000,0.585718
0.020000,78.174736,20.135015,82.213089,93.954748,53.688428,-0.000000,0.606577
0.020000,79.715837,21.228785,84.102922,95.028517,53.688428,0.000000,0.627918
0.020000,81.250221,22.368351,86.014230,96.102285,53.688428,-0.000000,0.649725
0.020000,82.776080,23.554620,87.947013,97.176054,53.688428,0.000000,0.671976
0.020000,84.291565,24.788426,89.901272,98.249822,53.688428,0.000000,0.694648
0.020000,85.794773,26.070497,91.877006,99.323591,53.688428,0.000000,0.717712
0.020000,87.283783,27.401477,93.874216,100.397359,53.688428,-0.000000,0.741138
0.020000,88.756651,28.781895,95.892900,101.471128,53.688428,0.000000,0.764889
