dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.012453,-12.749994,0.005369,0.536884,26.844214,1342.210688,6.282209
0.020000,-0.011314,-12.749995,0.006508,0.056938,-23.997333,-2542.077321,6.282298
0.020000,-0.009036,-12.749997,0.008786,0.113906,2.848410,1342.287121,6.282477
0.020000,-0.005617,-12.749999,0.012204,0.170935,2.851468,0.152935,6.282745
0.020000,-0.001056,-12.750000,0.016766,0.228056,2.856060,0.229574,6.283102
0.020000,0.092180,-12.749983,0.110001,4.661776,221.685985,10941.496253,0.000365
0.020000,0.227872,-12.749897,0.245693,6.784620,106.142216,-5777.188470,0.000903
0.020000,0.386235,-12.749704,0.404057,7.918159,56.676931,-2473.264221,0.001531
0.020000,0.567209,-12.749362,0.585030,9.048689,56.526492,-7.521963,0.002251
0.020000,0.770819,-12.748821,0.788642,10.180559,56.593489,3.349867,0.003063
0.020000,0.997100,-12.748026,1.014924,11.314119,56.678034,4.227230,0.003967
0.020000,1.246046,-12.746914,1.263872,12.447425,56.665263,-0.638550,0.004965
0.020000,1.517659,-12.745417,1.535490,13.580865,56.672002,0.336963,0.006056
0.020000,1.811978,-12.743460,1.829815,14.716249,56.769220,4.860918,0.007243
0.020000,2.128986,-12.740961,2.146833,15.850919,56.733495,-1.786267,0.008525
0.020000,2.468679,-12.737831,2.486540,16.985363,56.722214,-0.564057,0.009905
0.020000,2.831109,-12.733973,2.848991,18.122508,56.857230,6.750816,0.011383
0.020000,3.216265,-12.729285,3.234176,19.259259,56.837555,-0.983755,0.012960
0.020000,3.624185,-12.723657,3.642134,20.397916,56.932858,4.765123,0.014637
0.020000,4.054844,-12.716969,4.072846,21.535582,56.883293,-2.478232,0.016417
0.020000,4.508286,-12.709098,4.526356,22.675505,56.996165,5.643579,0.018301
0.020000,4.984548,-12.699907,5.002706,23.817498,57.099658,5.174653,0.020290
0.020000,5.483613,-12.689257,5.501885,24.958974,57.073803,-1.292719,0.022386
0.020000,6.005502,-12.676998,6.023918,26.101635,57.133013,2.960474,0.024590
0.020000,6.550272,-12.662968,6.568868,27.247524,57.294441,8.071401,0.026906
0.020000,7.117902,-12.647003,7.136723,28.392740,57.260825,-1.680769,0.029334
0.020000,7.708391,-12.628926,7.727488,29.538262,57.276110,0.764252,0.031877
0.020000,8.321826,-12.608549,8.341262,30.688687,57.521223,12.255608,0.034538
0.020000,8.958143,-12.585679,8.977990,31.836372,57.384249,-6.848663,0.037318
0.020000,9.617461,-12.560106,9.637803,32.990687,57.715779,16.576481,0.040220
0.020000,10.299726,-12.531618,10.320663,34.142959,57.613593,-5.109298,0.043247
0.020000,11.004972,-12.499986,11.026618,35.297777,57.740905,6.365614,0.046402
0.020000,11.733228,-12.464972,11.755715,36.454858,57.854057,5.657592,0.049687
0.020000,12.484513,-12.426327,12.507994,37.613917,57.952954,4.944854,0.053106
0.020000,13.258839,-12.383789,13.283487,38.774668,58.037528,4.228684,0.056661
0.020000,14.056209,-12.337084,14.082223,39.936823,58.107737,3.510469,0.060357
0.020000,14.876713,-12.285922,14.904321,41.104888,58.403285,14.777363,0.064197
0.020000,15.720269,-12.230007,15.749729,42.270378,58.274483,-6.440064,0.068184
0.020000,16.586983,-12.169020,16.618585,43.442812,58.621718,17.361723,0.072323
0.020000,17.476800,-12.102635,17.510875,44.614520,58.585371,-1.817339,0.076618
0.020000,18.389755,-12.030507,18.426675,45.789995,58.773734,9.418164,0.081073
0.020000,19.325870,-11.952274,19.366054,46.968934,58.946969,8.661730,0.085692
0.020000,20.285158,-11.867560,20.329075,48.151034,59.104992,7.901145,0.090480
0.020000,21.267618,-11.775970,21.315794,49.335989,59.247766,7.138734,0.095442
0.020000,22.273238,-11.677094,22.326264,50.523495,59.375307,6.377034,0.100584
0.020000,23.302017,-11.570502,23.360550,51.714307,59.540565,8.262891,0.105910
0.020000,24.353997,-11.455739,24.418772,52.911052,59.837286,14.836073,0.111427
0.020000,25.429117,-11.332339,25.500950,54.108930,59.893875,2.829455,0.117140
0.020000,26.527372,-11.199811,26.607172,55.311102,60.108616,10.737011,0.123056
0.020000,27.648768,-11.057636,27.737545,56.518646,60.377215,13.429969,0.129180
0.020000,28.793269,-10.905279,28.892143,57.729895,60.562417,9.260118,0.135520
0.020000,29.960859,-10.742176,30.071070,58.946344,60.822465,13.002396,0.142082
0.020000,31.151483,-10.567743,31.274403,60.166675,61.016551,9.704265,0.148875
0.020000,32.365068,-10.381371,32.502216,61.390635,61.198002,9.072581,0.155905
0.020000,33.601602,-10.182411,33.754654,62.621913,61.563893,18.294532,0.163180
0.020000,34.860966,-9.970204,35.031772,63.855862,61.697469,6.678829,0.170709
0.020000,36.143138,-9.744040,36.333738,65.098329,62.123334,21.293235,0.178501
0.020000,37.447990,-9.503196,37.660631,66.344625,62.314815,9.574023,0.186563
0.020000,38.775409,-9.246911,39.012563,67.596641,62.600758,14.297191,0.194906
0.020000,40.125279,-8.974387,40.389669,68.855274,62.931678,16.545974,0.203539
0.020000,41.497477,-8.684792,41.792092,70.121172,63.294877,18.159931,0.212471
0.020000,42.891780,-8.377271,43.219906,71.390663,63.474568,8.984578,0.221714
0.020000,44.308077,-8.050906,44.673319,72.670669,64.000320,26.287596,0.231277
0.020000,45.746098,-7.704769,46.152412,73.954653,64.199190,9.943477,0.241171
0.020000,47.205622,-7.337877,47.657344,75.246591,64.596889,19.884979,0.251407
0.020000,48.686383,-6.949211,49.188263,76.545977,64.969303,18.620715,0.261998
0.020000,50.188069,-6.537711,50.745310,77.852307,65.316513,17.360465,0.272953
0.020000,51.710341,-6.102276,52.328634,79.166216,65.695440,18.946384,0.284286
0.020000,53.252840,-5.641756,53.938410,80.488826,66.130494,21.752663,0.296008
0.020000,54.815117,-5.154973,55.574769,81.817920,66.454696,16.210137,0.308131
0.020000,56.396701,-4.640698,57.237864,83.154753,66.841651,19.347744,0.320666
0.020000,57.997073,-4.097661,58.927858,84.499699,67.247313,20.283070,0.333628
0.020000,59.615644,-3.524553,60.644898,85.851992,67.614626,18.365657,0.347026
0.020000,61.251751,-2.920032,62.389115,87.210860,67.943429,16.440140,0.360872
0.020000,62.904732,-2.282691,64.160710,88.579729,68.443461,25.001620,0.375180
0.020000,64.573742,-1.611132,65.959761,89.952584,68.642748,9.964327,0.389958
0.020000,66.257935,-0.903894,67.786422,91.333056,69.023557,19.040479,0.405217
0.020000,67.956365,-0.159495,69.640821,92.719911,69.342760,15.960144,0.420967
0.020000,69.667984,0.623562,71.523058,94.111897,69.599318,12.827913,0.437216
0.020000,71.391640,1.446789,73.433213,95.507748,69.792569,9.662511,0.453972
0.020000,73.126129,2.311728,75.371401,96.909403,70.082748,14.508958,0.471240
0.020000,74.870073,3.219890,77.337641,98.311965,70.128093,2.267286,0.489025
0.020000,76.622029,4.172797,79.331978,99.716879,70.245683,5.879495,0.507330
0.020000,78.380430,5.171949,81.354422,101.122205,70.266313,1.031490,0.526155
0.020000,80.143585,6.218810,83.404942,102.525997,70.189571,-3.837084,0.545498
0.020000,81.909692,7.314800,85.483483,103.927022,70.051257,-6.915699,0.565355
0.020000,83.676836,8.461287,87.589956,105.323675,69.832643,-10.930723,0.585718
0.020000,85.442979,9.659561,89.724229,106.713635,69.498006,-16.731835,0.606577
0.020000,87.205969,10.910819,91.886122,108.094645,69.050516,-22.374492,0.627918
0.020000,88.963555,12.216160,94.075419,109.464853,68.510408,-27.005435,0.649725
0.020000,90.713385,13.576560,96.291857,110.821896,67.852137,-32.913540,0.671976
0.020000,92.453033,14.992868,98.535136,112.163942,67.102276,-37.493023,0.694648
0.020000,94.179977,16.465766,100.804885,113.487485,66.177157,-46.255988,0.717712
0.020000,95.891660,17.995789,103.100714,114.791434,65.197465,-48.984573,0.741138
0.020000,97.585476,19.583290,105.422173,116.072943,64.075453,-56.100636,0.764889
0.020000,99.252684,21.222278,107.760092,116.895971,41.151378,-1146.203720,0.788839
0.020000,100.876664,22.897028,110.092923,116.641516,-12.722735,-2693.705682,0.812732
0.020000,102.445713,24.594022,112.404136,115.560642,-54.043674,-2066.046908,0.836364
0.020000,103.957474,26.308049,114.689591,114.272777,-64.393258,-517.479222,0.859659
0.020000,105.412352,28.036517,116.948855,112.963191,-65.479302,-54.302187,0.882585
0.020000,106.810927,29.776886,119.181543,111.634421,-66.438536,-47.961687,0.905110
0.020000,108.153931,31.526670,121.387309,110.288278,-67.307143,-43.430378,0.927208
0.020000,109.442249,33.283467,123.565863,108.927725,-68.027634,-36.024558,0.948856
0.020000,110.676891,35.044961,125.716957,107.554656,-68.653473,-31.291925,0.970034
0.020000,111.858988,36.808936,127.840388,106.171565,-69.154550,-25.053840,0.990726
0.020000,112.989756,38.573273,129.935984,104.779791,-69.588691,-21.707087,1.010920
0.020000,114.070516,40.335987,132.003640,103.382821,-69.848466,-12.988733,1.030606
0.020000,115.102636,42.095181,134.043256,101.980816,-70.100289,-12.591167,1.049778
0.020000,116.087556,43.849103,136.054801,100.577226,-70.179460,-3.958511,1.068432
0.020000,117.026747,45.596105,138.038256,99.172751,-70.223746,-2.214328,1.086567
0.020000,117.921713,47.334659,139.993643,97.769337,-70.170733,2.650678,1.104184
0.020000,118.773956,49.063316,141.920965,96.366129,-70.160406,0.516324,1.121286
0.020000,119.585021,50.780809,143.820336,94.968517,-69.880575,13.991573,1.137878
0.020000,120.356412,52.485897,145.691797,93.573088,-69.771462,5.455608,1.153966
0.020000,121.089644,54.177485,147.535462,92.183221,-69.493348,13.905730,1.169558
0.020000,121.786210,55.854564,149.351446,90.799210,-69.200542,14.640314,1.184663
0.020000,122.447569,57.516184,151.139847,89.420054,-68.957790,12.137575,1.199291
0.020000,123.075177,59.161545,152.900842,88.049727,-68.516387,22.070175,1.213451
0.020000,123.670425,60.789839,154.634526,86.684233,-68.274707,12.083987,1.227155
0.020000,124.234697,62.400403,156.341078,85.327578,-67.832724,22.099140,1.240414
0.020000,124.769323,63.992596,158.020633,83.977743,-67.491760,17.048199,1.253240
0.020000,125.275598,65.565852,159.673343,82.635499,-67.112196,18.978214,1.265646
0.020000,125.754780,67.119675,161.299375,81.301613,-66.694281,20.895723,1.277642
0.020000,126.208072,68.653573,162.898849,79.973696,-66.395875,14.920334,1.289241
0.020000,126.636660,70.167184,164.471968,78.655954,-65.887100,25.438756,1.300455
0.020000,127.041654,71.660076,166.018819,77.342557,-65.669856,10.862189,1.311295
0.020000,127.424155,73.131966,167.539598,76.038940,-65.180834,24.451093,1.321774
0.020000,127.785207,74.582558,169.034447,74.742456,-64.824181,17.832624,1.331903
0.020000,128.125815,76.011579,170.503500,73.452636,-64.491003,16.658933,1.341694
0.020000,128.446939,77.418782,171.946878,72.168917,-64.185970,15.251631,1.351156
0.020000,128.749520,78.804017,173.364775,70.894827,-63.704491,24.073944,1.360302
0.020000,129.034432,80.167033,174.757250,69.623748,-63.553940,7.527569,1.369140
0.020000,129.302539,81.507715,176.124477,68.361381,-63.118357,21.779155,1.377682
0.020000,129.554657,82.825922,177.466577,67.104979,-62.820104,14.912637,1.385937
0.020000,129.791570,84.121528,178.783666,65.854461,-62.525886,14.710920,1.393915
0.020000,130.014030,85.394439,180.075870,64.610212,-62.212450,15.671802,1.401624
0.020000,130.222751,86.644531,181.343266,63.369792,-62.021011,9.571921,1.409073
0.020000,130.418428,87.871759,182.585997,62.136538,-61.662720,17.914577,1.416272
0.020000,130.601716,89.076039,183.804145,60.907402,-61.456787,10.296636,1.423227
0.020000,130.773252,90.257342,184.997837,59.684592,-61.140477,15.815473,1.429948
0.020000,130.933636,91.415602,186.167149,58.465606,-60.949329,9.557443,1.436440
0.020000,131.083446,92.550775,187.312164,57.250770,-60.741779,10.377482,1.442713
0.020000,131.223236,93.662832,188.432973,56.040417,-60.517666,11.205638,1.448771
0.020000,131.353536,94.751761,189.529670,54.834879,-60.276919,12.037362,1.454623
0.020000,131.474857,95.817568,190.602360,53.634488,-60.019550,12.868469,1.460274
0.020000,131.587676,96.860183,191.651061,52.435066,-59.971071,2.423932,1.465730
0.020000,131.692466,97.879674,192.675923,51.243089,-59.598837,18.611719,1.470998
